"person_id","work_email","first_name","last_name","sign_up_participation","log_hours_participation"
"5703","kevin.zeigler+187728jamie4@salesforce.com","Jamie","Warrington","TRUE","TRUE"
"4673","53148a58-d1c3-4bad-a59d-9d7f21301b3b@api-token.internal.makanaplatform.com","PSUEDO_FIRST","PSUEDO_LAST","FALSE","FALSE"
"5681","kevin.zeigler+187728jamie3@salesforce.com","Jamie","Warrington","TRUE","FALSE"
"4796","kevin.zeigler+187728jamie2@salesforce.com","Jamie","Warrington","TRUE","FALSE"
"4793","kevin.zeigler+187728jamie@salesforce.com","Jamie","Warrington","TRUE","TRUE"
"4791","aulles+187728@salesforce.com","Annie","Ulles","FALSE","FALSE"
"4696","kevin.zeigler+187728tim@salesforce.com","Tim","Reynolds","TRUE","FALSE"
"4512","siobhan.jones+kz@salesforce.com","Siobhan","Jones","FALSE","FALSE"
"4462","6878f737-064a-4e6c-921b-e5ce2f05cba8@api-token.internal.makanaplatform.com","PSUEDO_FIRST","PSUEDO_LAST","FALSE","FALSE"
"4447","kevin.zeigler+john10click@salesforce.com","John","Smith","FALSE","TRUE"
"4446","kevin.zeigler+tim10click@salesforce.com","Tim","Reynolds","TRUE","TRUE"
"4445","kevin.zeigler+187728@salesforce.com","Lauren","Bailey","TRUE","TRUE"
